PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
2017-10-04 12:00:00 +0000 +0000,CİBALİ KARAKOLU,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,579
2017-10-04 17:30:00 +0000 +0000,CİBALİ KARAKOLU,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,598
2017-10-05 17:30:00 +0000 +0000,CİBALİ KARAKOLU,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,593
2017-10-06 17:30:00 +0000 +0000,CİBALİ KARAKOLU,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,595
2017-10-07 12:00:00 +0000 +0000,CİBALİ KARAKOLU,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,602
2017-10-07 17:30:00 +0000 +0000,CİBALİ KARAKOLU,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,603
2017-10-11 12:00:00 +0000 +0000,ŞAHANE ZÜĞÜRTLER,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,460
2017-10-11 17:30:00 +0000 +0000,ŞAHANE ZÜĞÜRTLER,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,583
2017-10-12 17:30:00 +0000 +0000,ŞAHANE ZÜĞÜRTLER,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,592
2017-10-13 17:30:00 +0000 +0000,ŞAHANE ZÜĞÜRTLER,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,596
2017-10-14 12:00:00 +0000 +0000,ŞAHANE ZÜĞÜRTLER,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,592
2017-10-14 17:30:00 +0000 +0000,ŞAHANE ZÜĞÜRTLER,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,594
2017-10-18 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,595
2017-10-19 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,578
2017-10-20 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,593
2017-10-21 12:00:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,598
2017-10-21 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,607
2017-10-25 12:00:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,481
2017-10-25 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,582
2017-10-26 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,590
2017-10-27 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,595
2017-10-28 12:00:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,599
2017-10-28 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,592
2017-10-04 12:00:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,135
2017-10-04 17:30:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,284
2017-10-05 17:30:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,245
2017-10-06 17:30:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,257
2017-10-07 12:00:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,265
2017-10-07 17:30:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,291
2017-10-11 12:00:00 +0000 +0000,SAADET HANIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,171
2017-10-11 17:30:00 +0000 +0000,SAADET HANIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,245
2017-10-12 17:30:00 +0000 +0000,SAADET HANIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,334
2017-10-13 17:30:00 +0000 +0000,SAADET HANIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,302
2017-10-14 12:00:00 +0000 +0000,SAADET HANIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,316
2017-10-14 17:30:00 +0000 +0000,SAADET HANIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,334
2017-10-18 12:00:00 +0000 +0000,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,223
2017-10-18 17:30:00 +0000 +0000,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,313
2017-10-19 17:30:00 +0000 +0000,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,311
2017-10-20 17:30:00 +0000 +0000,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,287
2017-10-21 12:00:00 +0000 +0000,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,323
2017-10-21 17:30:00 +0000 +0000,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,329
2017-10-25 12:00:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,340
2017-10-25 17:30:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,347
2017-10-26 17:30:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,331
2017-10-27 17:30:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,350
2017-10-28 12:00:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,306
2017-10-28 17:30:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,339
2017-10-05 17:30:00 +0000 +0000,SON,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,248
2017-10-06 17:30:00 +0000 +0000,SON,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,203
2017-10-07 12:00:00 +0000 +0000,SON,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,193
